강좌검색,,,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2025학년도,   학기 : 겨울학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,재학생장바구니신청,신입생장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교직,사범대학,,학사,4학년,T2184.001300,001,교육봉사활동1,,1,0,30,,,,은지용,0,0,0,150 (150),32,,한국어,설강
전선,국제대학원,국제학과,석사,0,876.503,001,국제개발협력론,논문워크샵1,3,3,0,월(14:00~16:50)/화(14:00~16:50)/수(14:00~16:50)/금(14:00~16:50),이론/이론/이론/이론,140-101(무선랜제공)/140-101(무선랜제공)/140-101(무선랜제공)/140-101(무선랜제공),김태균,23,23,0,16 (16),16,"ⓔGSIS, DCPP Only/DCPP 프로그램 대상 수업으로 이외 학생 신청 불가/상호인정: 개발, 통상, 협력 또는 지역학",영어,설강
교양,인문대학,역사학부,학사,1학년,C20.103,001,근·현대 한국민족주의,,3,3,0,월(15:00~17:50)/수(15:00~17:50)/금(15:00~17:50),이론/이론/이론,14-203(무선랜제공)/14-203(무선랜제공)/14-203(무선랜제공),박정민,81,81,0,60 (60),60,,한국어,설강
교양,사범대학,윤리교육과,학사,1학년,C30.104,001,국가와 시민,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,10-1-507(무선랜제공)/10-1-507(무선랜제공)/10-1-507(무선랜제공),조진호,75,75,0,60 (60),61,,한국어,설강
교양,사회과학대학,정치외교학부,학사,1학년,C30.105,001,국제정치학입문,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/목(09:00~11:50),이론/이론/이론,101-507(무선랜제공)/101-507(무선랜제공)/101-507(무선랜제공),이유철,92,92,0,60 (60),60,,한국어,설강
교양,인문대학,협동과정  서양고전학전공,학사,1학년,C10.103,001,그리스.로마신화,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,83-501(무선랜제공)/83-501(무선랜제공)/83-501(무선랜제공),한경자,118,118,0,60 (60),60,,한국어,설강
교양,인문대학,협동과정  서양고전학전공,학사,1학년,C10.104,001,그리스비극,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,14-204(무선랜제공)/14-204(무선랜제공)/14-204(무선랜제공),장시은,43,43,0,60 (60),60,,한국어,설강
교양,학부대학,,학사,1학년,E20.102,001,그린리더십 인턴십,,3,0,6,,,,오도영,16,16,0,40 (40),19,"12월22일(월)10시~12시-오리엔테이션1월23일(금) 1시~4시-최종발표회/1. 그린리더십 교과목 두 과목 선이수 학생대상-2025년도 2학기 수강중인 과목도 선이수 과목에 포함(신규지정된 '교과인증교과목'은 활용안됨)2. 지원서와 자기 소개서를 담당자 메일로 제출, 기관배정 완료된 경우 신청가능, 10월초 기관공지(https://isd.snu.ac.kr)3. 대학원생수강제한",한국어,설강
교양,인문대학,역사학부,학사,1학년,C20.105,001,남북분단과 한국전쟁,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,43-1-304(무선랜제공)/43-1-304(무선랜제공)/43-1-304(무선랜제공),윤성민,33,33,0,60 (60),60,,한국어,설강
교양,인문대학,철학과,학사,1학년,F12.101,001,논리와 비판적 사고,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,6-103(무선랜제공)/6-103(무선랜제공)/6-103(무선랜제공),권희진,75,75,0,60 (60),60,,한국어,설강
교양,인문대학,철학과,학사,1학년,C20.106,001,논리학,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,6-103(무선랜제공)/6-103(무선랜제공)/6-103(무선랜제공),이덕균,130,130,0,60 (60),60,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.104,001,달리기와 건강,,1,0,2,월(14:00~16:50)/수(14:00~16:50),실기/실기,/,이도흥,26,26,0,30 (30),30,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.103,001,농구초급,,1,0,2,월(11:00~12:50)/수(11:00~12:50)/금(11:00~12:50),실기/실기/실기,/ /,윤석균,18,18,0,30 (30),30,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.103,003,농구초급,,1,0,2,화(11:00~13:50)/목(11:00~13:50),실기/실기,/,박찬우,45,45,0,30 (30),30,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.103,002,농구초급,,1,0,2,월(13:00~14:50)/수(13:00~14:50)/금(13:00~14:50),실기/실기/실기,/ /,윤석균,26,26,0,30 (30),30,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.103,004,농구초급,,1,0,2,화(14:00~16:50)/목(14:00~16:50),실기/실기,/,박찬우,40,40,0,30 (30),30,,한국어,설강
교양,인문대학,영어영문학과,학사,1학년,F21.201,002,대학영어 2: 글쓰기,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,2-106(무선랜제공)/2-106(무선랜제공)/2-106(무선랜제공),김소연,63,63,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
